TimeStamp,N_sum_laimburg,irrig,et_sbr,wb_sbr
27/08/2018,,,3.5,0.0
28/08/2018,,,4.0,0.0
29/08/2018,,,3.7,0.0
30/08/2018,3.0,,3.3,0.0
31/08/2018,37.0,,2.7,0.0
01/09/2018,29.0,,2.8,0.0
02/09/2018,8.7,,2.5,0.0
03/09/2018,0.1,,3.2,0.0
04/09/2018,,,3.5,0.0
05/09/2018,,,3.4,0.0
06/09/2018,,,3.9,0.0
07/09/2018,1.2,,3.6,0.0
08/09/2018,,,3.8,0.0
09/09/2018,,,3.8,0.0
10/09/2018,,,3.9,0.0
11/09/2018,,,3.7,0.0
12/09/2018,,,3.7,0.0
13/09/2018,,,3.8,0.0
14/09/2018,,,3.5,0.0
15/09/2018,27.0,,3.7,0.0
16/09/2018,,,3.6,0.0
17/09/2018,,,3.6,0.0
18/09/2018,,,3.3,0.0
19/09/2018,,,2.1,0.0
20/09/2018,,,1.5,0.0
21/09/2018,,,1.7,0.0
22/09/2018,,,1.7,0.0
23/09/2018,,,1.9,0.0
24/09/2018,,,2.4,0.0
25/09/2018,,,1.6,0.0
26/09/2018,,,1.4,0.0
27/09/2018,,,1.4,0.0
28/09/2018,,,1.4,0.0
29/09/2018,,,1.7,0.0
30/09/2018,0.1,,1.6,0.0
01/10/2018,6.6,,0.8,0.0
02/10/2018,,,1.5,0.0
03/10/2018,,,1.2,0.0
04/10/2018,,,1.2,0.0
05/10/2018,,,1.2,0.0
06/10/2018,0.7,,1.1,0.0
07/10/2018,0.1,,1.1,0.0
08/10/2018,,,1.1,0.0
09/10/2018,,,1.2,0.0
10/10/2018,,,1.1,0.0
11/10/2018,,,1.2,0.0
12/10/2018,0.2,,1.1,0.0
13/10/2018,,,1.2,0.0
14/10/2018,,,1.1,0.0
15/10/2018,0.1,,0.0,0.0
